x,y,vc,dr,ep,r,a,t,se,t_x,d,s_d,cr,pa
0,0,1.517668813205528,1.517668813205528,1.517668813205528,1.517668813205528,1.517668813205528,1.517668813205528,1.517668813205528,1.517668813205528,1.517668813205528,1.517668813205528,1.517668813205528,1.517668813205528
0,1,1.354387355270454,1.354387355270454,1.354387355270454,1.354387355270454,1.354387355270454,1.354387355270454,1.354387355270454,1.354387355270454,1.354387355270454,1.354387355270454,1.354387355270454,1.354387355270454
0,2,1.514119629680599,1.514119629680599,1.514119629680599,1.514119629680599,1.514119629680599,1.514119629680599,1.514119629680599,1.514119629680599,1.514119629680599,1.514119629680599,1.514119629680599,1.514119629680599
0,3,1.2456419142306643,1.2456419142306643,1.2456419142306643,1.2456419142306643,1.2456419142306643,1.2456419142306643,1.2456419142306643,1.2456419142306643,1.2456419142306643,1.2456419142306643,1.2456419142306643,1.2456419142306643
0,4,1.4819240739446418,1.4819240739446418,1.4819240739446418,1.4819240739446418,1.4819240739446418,1.4819240739446418,1.4819240739446418,1.4819240739446418,1.4819240739446418,1.4819240739446418,1.4819240739446418,1.4819240739446418
0,5,1.3538093924094246,1.3538093924094246,1.3538093924094246,1.3538093924094246,1.3538093924094246,1.3538093924094246,1.3538093924094246,1.3538093924094246,1.3538093924094246,1.3538093924094246,1.3538093924094246,1.3538093924094246
0,6,1.5154156533275254,1.5154156533275254,1.5154156533275254,1.5154156533275254,1.5154156533275254,1.5154156533275254,1.5154156533275254,1.5154156533275254,1.5154156533275254,1.5154156533275254,1.5154156533275254,1.5154156533275254
0,7,1.2778401444172054,1.2778401444172054,1.2778401444172054,1.2778401444172054,1.2778401444172054,1.2778401444172054,1.2778401444172054,1.2778401444172054,1.2778401444172054,1.2778401444172054,1.2778401444172054,1.2778401444172054
0,8,1.4213381297435637,1.4213381297435637,1.4213381297435637,1.4213381297435637,1.4213381297435637,1.4213381297435637,1.4213381297435637,1.4213381297435637,1.4213381297435637,1.4213381297435637,1.4213381297435637,1.4213381297435637
0,9,1.2855205855324616,1.2855205855324616,1.2855205855324616,1.2855205855324616,1.2855205855324616,1.2855205855324616,1.2855205855324616,1.2855205855324616,1.2855205855324616,1.2855205855324616,1.2855205855324616,1.2855205855324616
0,10,1.5007275577896277,1.5007275577896277,1.5007275577896277,1.5007275577896277,1.5007275577896277,1.5007275577896277,1.5007275577896277,1.5007275577896277,1.5007275577896277,1.5007275577896277,1.5007275577896277,1.5007275577896277
0,11,1.3611304036040233,1.3611304036040233,1.3611304036040233,1.3611304036040233,1.3611304036040233,1.3611304036040233,1.3611304036040233,1.3611304036040233,1.3611304036040233,1.3611304036040233,1.3611304036040233,1.3611304036040233
0,12,1.4600525374119442,1.4600525374119442,1.4600525374119442,1.4600525374119442,1.4600525374119442,1.4600525374119442,1.4600525374119442,1.4600525374119442,1.4600525374119442,1.4600525374119442,1.4600525374119442,1.4600525374119442
