x,y,vc,dr,ep,r,a,t,se,t_x,d,s_d,cr,pa
0,0,1,1,1,1,1,1,1,1,1,1,1,1
0,1,1,1,1,1,1,1,1,1,1,1,1,1
0,2,1,1,1,1,1,1,1,1,1,1,1,1
0,3,1,1,1,1,1,1,1,1,1,1,1,1
0,4,1,1,1,1,1,1,1,1,1,1,1,1
0,5,1,1,1,1,1,1,1,1,1,1,1,1
0,6,1.000002,1.000002,1.000002,1.000002,1.000002,1.000002,1.000002,1.000002,1.000002,1.000002,1.000002,1.000002
0,7,1.000017,1.000017,1.000017,1.000017,1.000017,1.000017,1.000017,1.000017,1.000017,1.000017,1.000017,1.000017
0,8,1.000119,1.000119,1.000119,1.000119,1.000119,1.000119,1.000119,1.000119,1.000119,1.000119,1.000119,1.000119
0,9,1.000742,1.000742,1.000742,1.000742,1.000742,1.000742,1.000742,1.000742,1.000742,1.000742,1.000742,1.000742
0,10,1.003814,1.003814,1.003814,1.003814,1.003814,1.003814,1.003814,1.003814,1.003814,1.003814,1.003814,1.003814
0,11,1.014738,1.014738,1.014738,1.014738,1.014738,1.014738,1.014738,1.014738,1.014738,1.014738,1.014738,1.014738
0,12,1.040995,1.040995,1.040995,1.040995,1.040995,1.040995,1.040995,1.040995,1.040995,1.040995,1.040995,1.040995
0,13,1.079429,1.079429,1.079429,1.079429,1.079429,1.079429,1.079429,1.079429,1.079429,1.079429,1.079429,1.079429
0,14,1.106907,1.106907,1.106907,1.106907,1.106907,1.106907,1.106907,1.106907,1.106907,1.106907,1.106907,1.106907
0,15,1.102421,1.102421,1.102421,1.102421,1.102421,1.102421,1.102421,1.102421,1.102421,1.102421,1.102421,1.102421
0,16,1.072767,1.072767,1.072767,1.072767,1.072767,1.072767,1.072767,1.072767,1.072767,1.072767,1.072767,1.072767
0,17,1.042103,1.042103,1.042103,1.042103,1.042103,1.042103,1.042103,1.042103,1.042103,1.042103,1.042103,1.042103
0,18,1.035211,1.035211,1.035211,1.035211,1.035211,1.035211,1.035211,1.035211,1.035211,1.035211,1.035211,1.035211
0,19,1.088911,1.088911,1.088911,1.088911,1.088911,1.088911,1.088911,1.088911,1.088911,1.088911,1.088911,1.088911
0,20,1.299479,1.299479,1.299479,1.299479,1.299479,1.299479,1.299479,1.299479,1.299479,1.299479,1.299479,1.299479
0,21,2,2,2,2,2,2,2,2,2,2,2,2
0,22,1.848794,1.848794,1.848794,1.848794,1.848794,1.848794,1.848794,1.848794,1.848794,1.848794,1.848794,1.848794
0,23,1.92277,1.92277,1.92277,1.92277,1.92277,1.92277,1.92277,1.92277,1.92277,1.92277,1.92277,1.92277
0,24,1.95533,1.95533,1.95533,1.95533,1.95533,1.95533,1.95533,1.95533,1.95533,1.95533,1.95533,1.95533
0,25,2,2,2,2,2,2,2,2,2,2,2,2
0,26,1.33652,1.33652,1.33652,1.33652,1.33652,1.33652,1.33652,1.33652,1.33652,1.33652,1.33652,1.33652
0,27,1.098915,1.098915,1.098915,1.098915,1.098915,1.098915,1.098915,1.098915,1.098915,1.098915,1.098915,1.098915
0,28,1.022983,1.022983,1.022983,1.022983,1.022983,1.022983,1.022983,1.022983,1.022983,1.022983,1.022983,1.022983
0,29,1.003967,1.003967,1.003967,1.003967,1.003967,1.003967,1.003967,1.003967,1.003967,1.003967,1.003967,1.003967
0,30,1.000489,1.000489,1.000489,1.000489,1.000489,1.000489,1.000489,1.000489,1.000489,1.000489,1.000489,1.000489
0,31,1.000042,1.000042,1.000042,1.000042,1.000042,1.000042,1.000042,1.000042,1.000042,1.000042,1.000042,1.000042
0,32,1.000002,1.000002,1.000002,1.000002,1.000002,1.000002,1.000002,1.000002,1.000002,1.000002,1.000002,1.000002
0,33,1,1,1,1,1,1,1,1,1,1,1,1
0,34,1,1,1,1,1,1,1,1,1,1,1,1
0,35,1,1,1,1,1,1,1,1,1,1,1,1
0,36,1,1,1,1,1,1,1,1,1,1,1,1
0,37,1,1,1,1,1,1,1,1,1,1,1,1
0,38,1,1,1,1,1,1,1,1,1,1,1,1
0,39,1.000002,1.000002,1.000002,1.000002,1.000002,1.000002,1.000002,1.000002,1.000002,1.000002,1.000002,1.000002
1,0,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,2,1,1,1,1,1,1,1,1,1,1,1,1
1,3,1,1,1,1,1,1,1,1,1,1,1,1
1,4,1.000001,1.000001,1.000001,1.000001,1.000001,1.000001,1.000001,1.000001,1.000001,1.000001,1.000001,1.000001
1,5,1.000006,1.000006,1.000006,1.000006,1.000006,1.000006,1.000006,1.000006,1.000006,1.000006,1.000006,1.000006
1,6,1.000038,1.000038,1.000038,1.000038,1.000038,1.000038,1.000038,1.000038,1.000038,1.000038,1.000038,1.000038
1,7,1.000198,1.000198,1.000198,1.000198,1.000198,1.000198,1.000198,1.000198,1.000198,1.000198,1.000198,1.000198
1,8,1.000913,1.000913,1.000913,1.000913,1.000913,1.000913,1.000913,1.000913,1.000913,1.000913,1.000913,1.000913
1,9,1.003966,1.003966,1.003966,1.003966,1.003966,1.003966,1.003966,1.003966,1.003966,1.003966,1.003966,1.003966
1,10,1.015253,1.015253,1.015253,1.015253,1.015253,1.015253,1.015253,1.015253,1.015253,1.015253,1.015253,1.015253
1,11,1.047427,1.047427,1.047427,1.047427,1.047427,1.047427,1.047427,1.047427,1.047427,1.047427,1.047427,1.047427
1,12,1.112234,1.112234,1.112234,1.112234,1.112234,1.112234,1.112234,1.112234,1.112234,1.112234,1.112234,1.112234
